Rank,Name,Age,City,Gender,Country,Source,Organization,Title,Year,Month,Networth,Category
1,Bernard Arnault & family,74,Paris,M,France,LVMH,LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,2023,4,211000,Fashion & Retail
2,Elon Musk,51,Austin,M,United States,"Tesla, SpaceX",Tesla,CEO,2023,4,180000,Automotive
3,Jeff Bezos,59,Medina,M,United States,Amazon,Amazon,Chairman and Founder,2023,4,114000,Technology
4,Larry Ellison,78,Lanai,M,United States,Oracle,Oracle,CTO and Founder,2023,4,107000,Technology
5,Warren Buffett,92,Omaha,M,United States,Berkshire Hathaway,Berkshire Hathaway Inc. (Cl A),CEO,2023,4,106000,Finance & Investments
6,Bill Gates,67,Medina,M,United States,Microsoft,Bill & Melinda Gates Foundation,Cochair,2023,4,104000,Technology
7,Michael Bloomberg,81,New York,M,United States,Bloomberg LP,Bloomberg,CEO,2023,4,94500,Media & Entertainment
8,Carlos Slim Helu & family,83,Mexico City,M,Mexico,Telecom,América Móvil,Honorary Chairman,2023,4,93000,Telecom
9,Mukesh Ambani,65,Mumbai,M,India,Diversified,Reliance Industries Ltd.,Founder and Chairman,2023,4,83400,Diversified
10,Steve Ballmer,67,Hunts Point,M,United States,Microsoft,Los Angeles Clippers,Owner,2023,4,80700,Technology
11,Francoise Bettencourt Meyers & family,69,Paris,F,France,L'Oréal,,,2023,4,80500,Fashion & Retail
12,Larry Page,50,Palo Alto,M,United States,Google,Alphabet,Cofounder and board member,2023,4,79200,Technology
13,Amancio Ortega,87,La Coruna,M,Spain,Zara,,,2023,4,77300,Fashion & Retail
14,Sergey Brin,49,Los Altos,M,United States,Google,Alphabet,Cofounder and board member,2023,4,76000,Technology
15,Zhong Shanshan,68,Hangzhou,M,China,"Beverages, pharmaceuticals",,,2023,4,68000,Food & Beverage
16,Mark Zuckerberg,38,Palo Alto,M,United States,Facebook,Meta Platforms,Cofounder,2023,4,64400,Technology
17,Charles Koch & family,87,Wichita,M,United States,Koch Industries,"Koch Industries, Inc.",Chairman and CEO,2023,4,59000,Diversified
17,Julia Koch & family,60,New York,F,United States,Koch Industries,,,2023,4,59000,Diversified
19,Jim Walton,74,Bentonville,M,United States,Walmart,"Arvest Bank Group, Inc.",Chairman and CEO,2023,4,58800,Fashion & Retail
20,Rob Walton & family,78,Bentonville,M,United States,Walmart,Walmart,Director,2023,4,57600,Fashion & Retail
21,Alice Walton,73,Fort Worth,F,United States,Walmart,Crystal Bridges Museum of American Art,Philanthropist,2023,4,56700,Fashion & Retail
22,David Thomson & family,65,Toronto,M,Canada,Media,Thomson Reuters Corporation,Chairman,2023,4,54400,Media & Entertainment
23,Michael Dell,58,Austin,M,United States,Dell Technologies,Dell Inc.,Chairman and CEO,2023,4,50100,Technology
24,Gautam Adani,60,Ahmedabad,M,India,"Infrastructure, commodities",,,2023,4,47200,Diversified
25,Phil Knight & family,85,Hillsboro,M,United States,Nike,Nike,Chairman,2023,4,45100,Fashion & Retail
26,Zhang Yiming,39,Beijing,M,China,TikTok,ByteDance,Founder,2023,4,45000,Technology
27,Dieter Schwarz,83,Neckarsulm,M,Germany,Retail,,,2023,4,42900,Fashion & Retail
28,François Pinault & family,86,Paris,M,France,Luxury goods,,,2023,4,40100,Fashion & Retail
29,Klaus-Michael Kuehne,85,Schindellegi,M,Switzerland,Shipping,,,2023,4,39100,Logistics
30,Giovanni Ferrero,58,Brussels,M,Belgium,"Nutella, chocolates",,,2023,4,38900,Food & Beverage
31,Jacqueline Mars,83,The Plains,F,United States,"Candy, pet food",,,2023,4,38300,Food & Beverage
31,John Mars,87,Jackson,M,United States,"Candy, pet food",,,2023,4,38300,Food & Beverage
33,Li Ka-shing,94,,M,Hong Kong,Diversified,CK Hutchison Holdings,Senior Advisor,2023,4,38000,Diversified
34,Ma Huateng,51,Shenzhen,M,China,Internet media,Tencent,Chairman and CEO,2023,4,35300,Technology
35,Miriam Adelson & family,77,Las Vegas,F,United States,Casinos,,,2023,4,35000,Gambling & Casinos
35,Ken Griffin,54,Miami,M,United States,Hedge funds,Citadel LLC,Founder & CEO,2023,4,35000,Finance & Investments
37,Mark Mateschitz,30,Salzburg,M,Austria,Red Bull,,,2023,4,34700,Food & Beverage
38,Robin Zeng,54,Ningde,M,China,Batteries,,,2023,4,33400,Automotive
39,Tadashi Yanai & family,74,Tokyo,M,Japan,Fashion retail,,,2023,4,32600,Fashion & Retail
40,Len Blavatnik,65,London,M,United Kingdom,"Music, chemicals",,,2023,4,32100,Diversified
41,Alain Wertheimer,74,New York,M,United States,Chanel,,,2023,4,31600,Fashion & Retail
41,Gerard Wertheimer,72,New York,M,United States,Chanel,,,2023,4,31600,Fashion & Retail
43,Gianluigi Aponte,82,Geneva,M,Switzerland,Shipping,,,2023,4,31200,Logistics
43,Rafaela Aponte-Diamant,78,Geneva,F,Switzerland,Shipping,,,2023,4,31200,Logistics
45,Colin Huang,43,Shanghai,M,China,E-commerce,,,2023,4,30200,Technology
46,Reinhold Wuerth & family,87,Kuenzelsau,M,Germany,Fasteners,,,2023,4,29700,Manufacturing
47,Lee Shau Kee,95,Hong Kong,M,Hong Kong,Real estate,,,2023,4,29500,Real Estate
48,Jeff Yass,64,Haverford,M,United States,"Trading, investments",,,2023,4,28500,Finance & Investments
49,Jim Simons,84,East Setauket,M,United States,Hedge funds,Renaissance Technologies Corp.,Founder,2023,4,28100,Finance & Investments
50,Stephen Schwarzman,76,New York,M,United States,Investments,Blackstone Group,Chairman and CEO,2023,4,27800,Finance & Investments
51,Susanne Klatten,60,Bad Homburg,F,Germany,"BMW, pharmaceuticals",,,2023,4,27400,Automotive
52,Gina Rinehart,69,Perth,F,Australia,Mining,Hancock Prospecting,Executive Chairman,2023,4,27000,Metals & Mining
53,William Ding,51,Hangzhou,M,China,Online games,,,2023,4,26700,Technology
54,Germán Larrea Mota Velasco & family,69,Mexico City,M,Mexico,Mining,,,2023,4,26600,Metals & Mining
55,Shiv Nadar,77,Delhi,M,India,software services,,,2023,4,25600,Technology
56,Low Tuck Kwong,74,Jakarta,M,Indonesia,Coal,,,2023,4,25500,Energy
57,Thomas Peterffy,78,Palm Beach,M,United States,Discount brokerage,,,2023,4,25300,Finance & Investments
58,Andrey Melnichenko & family,51,Ras Al Khaimah,M,United Arab Emirates,"Fertilizers, coal",,,2023,4,25200,Metals & Mining
59,Stefan Quandt,56,Frankfurt,M,Germany,BMW,,,2023,4,24600,Automotive
60,MacKenzie Scott,52,Seattle,F,United States,Amazon,,Philanthropist,2023,4,24400,Technology
61,R. Budi Hartono,82,Kudus,M,Indonesia,"Banking, tobacco",,,2023,4,24200,Finance & Investments
62,Vladimir Potanin,62,Moscow,M,Russia,Metals,,,2023,4,23700,Metals & Mining
63,Jack Ma,58,Hangzhou,M,China,E-commerce,,,2023,4,23500,Technology
64,He Xiangjian & family,80,Foshan,M,China,Home appliances,,,2023,4,23400,Manufacturing
65,Iris Fontbona & family,80,Santiago,F,Chile,Mining,,,2023,4,23100,Metals & Mining
65,Michael Hartono,83,Kudus,M,Indonesia,"Banking, tobacco",,,2023,4,23100,Manufacturing
67,James Ratcliffe,70,London,M,United Kingdom,Chemicals,,,2023,4,22900,Manufacturing
68,Cyrus Poonawalla,81,Pune,M,India,Vaccines,,,2023,4,22600,Healthcare
69,Masayoshi Son,65,Tokyo,M,Japan,"Internet, telecom",SoftBank Group Corp.,CEO,2023,4,22400,Telecom
70,Vladimir Lisin,66,Moscow,M,Russia,"Steel, transport",,,2023,4,22100,Metals & Mining
71,Emmanuel Besnier,52,Laval,M,France,Cheese,,,2023,4,22000,Food & Beverage
72,Abigail Johnson,61,Milton,F,United States,Fidelity,Fidelity Investments,CEO,2023,4,21600,Finance & Investments
72,Leonid Mikhelson & family,67,Moscow,M,Russia,"Gas, chemicals",,,2023,4,21600,Energy
74,Lukas Walton,36,Chicago,M,United States,Walmart,,,2023,4,21200,Fashion & Retail
74,Wang Wei,52,Shenzhen,M,China,Package delivery,,,2023,4,21200,Service
76,Jensen Huang,60,Los Altos,M,United States,Semiconductors,Nvidia,CEO & President,2023,4,21100,Technology
77,Leonard Lauder,90,New York,M,United States,Estee Lauder,The Estée Lauder Companies,Chairman Emeritus,2023,4,21000,Fashion & Retail
77,Takemitsu Takizaki,77,Osaka,M,Japan,Sensors,,,2023,4,21000,Manufacturing
79,Alexey Mordashov & family,57,Moscow,M,Russia,"Steel, investments",,,2023,4,20900,Metals & Mining
80,Vagit Alekperov,72,Moscow,M,Russia,Oil,,,2023,4,20500,Energy
81,"Thomas Frist, Jr. & family",84,Nashville,M,United States,Hospitals,,,2023,4,20200,Healthcare
82,Andrew Forrest,61,Perth,M,Australia,Mining,,,2023,4,19600,Metals & Mining
83,Ray Dalio,73,Greenwich,M,United States,Hedge funds,Bridgewater Associates,Founder & Co-Chief Investment Officer,2023,4,19100,Finance & Investments
84,Eric Li,59,Hangzhou,M,China,Automobiles,,,2023,4,19000,Automotive
84,Wang Wenyin,55,Shenzhen,M,China,"Mining, copper products",,,2023,4,19000,Metals & Mining
86,Eyal Ofer,72,Monte Carlo,M,Monaco,"Real estate, shipping",,,2023,4,18900,Diversified
86,Qin Yinglin,57,Nanyang,M,China,Pig breeding,,,2023,4,18900,Food & Beverage
88,Wang Chuanfu,57,Shenzhen,M,China,"Batteries, automobiles",,,2023,4,18700,Automotive
89,Harold Hamm & family,77,Oklahoma City,M,United States,Oil & gas,Continental Resources Inc. ,Chairman and CEO,2023,4,18500,Energy
89,David Tepper,65,Palm Beach,M,United States,Hedge funds,Appaloosa Management,President and Founder,2023,4,18500,Finance & Investments
89,Gennady Timchenko,70,Moscow,M,Russia,"Oil, gas",,,2023,4,18500,Energy
92,Daniel Gilbert,61,Franklin,M,United States,Quicken Loans,,,2023,4,18000,Finance & Investments
93,Lakshmi Mittal,72,London,M,United Kingdom,Steel,ArcelorMittal (ADR),Chairman and CEO,2023,4,17700,Metals & Mining
94,Steve Cohen,66,Greenwich,M,United States,Hedge funds,Point72 Asset Management,Founder,2023,4,17500,Finance & Investments
94,Carl Icahn,87,Indian Creek,M,United States,Investments,Icahn Capital Management,Founder,2023,4,17500,Finance & Investments
94,Savitri Jindal & family,73,Hisar,F,India,Steel,,,2023,4,17500,Metals & Mining
97,Donald Bren,90,Newport Beach,M,United States,Real estate,Irvine Company,Chairman,2023,4,17400,Real Estate
97,"John Menard, Jr.",83,Eau Claire,M,United States,Home improvement stores,"Menard, Inc.",Founder,2023,4,17400,Fashion & Retail
99,Rupert Murdoch & family,92,New York,M,United States,"Newspapers, TV network",News Corp Class A,Chairman and CEO,2023,4,17100,Media & Entertainment
100,Vicky Safra & family,70,Crans-Montana,F,Switzerland,Banking,,,2023,4,16700,Finance & Investments
101,"Theo Albrecht, Jr. & family",72,Mulheim an der Ruhr,M,Germany,"Aldi, Trader Joe's",,,2023,4,16500,Fashion & Retail
101,Renata Kellnerova & family,55,Prague,F,Czech Republic,"Finance, telecommunications",,,2023,4,16500,Finance & Investments
103,Li Xiting,72,Shenzhen,M,China,medical devices,,,2023,4,16300,Healthcare
104,Stefan Persson,75,Stockholm,M,Sweden,H&M,Hennes & Mauritz Unsponsored ADR,Chairman,2023,4,16200,Fashion & Retail
104,Eric Schmidt,67,Atherton,M,United States,Google,,,2023,4,16200,Technology
106,Michael Platt,55,Geneva,M,Switzerland,Hedge funds,BlueCrest Capital Management,Founder ,2023,4,16000,Finance & Investments
107,Pang Kang,67,Foshan,M,China,Soy sauce,,,2023,4,15900,Food & Beverage
108,Karl Albrecht Jr. & family,,,M,Germany,Supermarkets,,,2023,4,15800,Fashion & Retail
108,Beate Heister,,,F,,Supermarkets,,,2023,4,15800,Fashion & Retail
108,Jorge Paulo Lemann & family,83,Zurich,M,Switzerland,Beer,,"Investor, Philanthropist",2023,4,15800,Food & Beverage
108,Peter Woo,76,Hong Kong,M,Hong Kong,Real estate,,,2023,4,15800,Real Estate
112,Dilip Shanghvi,67,Mumbai,M,India,Pharmaceuticals,,,2023,4,15600,Healthcare
113,Robert Pera,45,San Jose,M,United States,Wireless networking,Ubiquiti,Chief Executive Officer,2023,4,15500,Technology
114,Radhakishan Damani,68,Mumbai,M,India,"Retail, investments",,,2023,4,15300,Fashion & Retail
115,Huang Shilin,56,Ningde,M,China,Batteries,,,2023,4,15200,Automotive
116,Dhanin Chearavanont,83,Bangkok,M,Thailand,Diversified,,,2023,4,14900,Diversified
116,David Green & family,81,Oklahoma City,M,United States,Retail,Hobby Lobby,CEO,2023,4,14900,Fashion & Retail
118,Charoen Sirivadhanabhakdi,78,Bangkok,M,Thailand,"Alcohol, real estate",,,2023,4,14800,Food & Beverage
119,Charlene de Carvalho-Heineken & family,68,London,F,United Kingdom,Heineken,,,2023,4,14700,Food & Beverage
120,Xu Hang,60,Shenzhen,M,China,Medical devices,,,2023,4,14600,Healthcare
121,Wei Jianjun & family,59,Baoding,M,China,Automobiles,,,2023,4,14500,Automotive
122,Alisher Usmanov,69,Tashkent,M,Uzbekistan,"Steel, telecom, investments",Metalloinvest,Founder,2023,4,14400,Metals & Mining
123,Goh Cheng Liang,95,Singapore,M,Singapore,Paints,,,2023,4,14300,Manufacturing
124,Kumar Birla,55,Mumbai,M,India,Commodities,,,2023,4,14200,Diversified
124,Aliko Dangote,65,Lagos,M,Nigeria,"Cement, sugar",Dangote Group,CEO,2023,4,14200,Manufacturing
126,Kwong Siu-hing,93,Hong Kong,F,Hong Kong,Real estate,,,2023,4,14100,Real Estate
127,Idan Ofer,67,London,M,United Kingdom,Shipping,,,2023,4,14000,Diversified
128,Chen Bang,57,Changsha,M,China,Hospitals,,,2023,4,13900,Healthcare
128,Lui Che Woo,94,Hong Kong,M,Hong Kong,Casinos/hotels,,,2023,4,13900,Gambling & Casinos
130,John Fredriksen,78,London,M,United Kingdom,Shipping,,Investor,2023,4,13700,Logistics
130,Diane Hendricks,76,Afton,F,United States,Building supplies,ABC Supply,Cofounder,2023,4,13700,Construction & Engineering
130,Jan Koum,47,Atherton,M,United States,WhatsApp,WhatsApp Inc.,"CEO, cofounder",2023,4,13700,Technology
133,Jerry Jones,80,Dallas,M,United States,Dallas Cowboys,Dallas Cowboys,President and General Manager,2023,4,13300,Sports
133,George Kaiser,80,Tulsa,M,United States,"Oil & gas, banking",BOK Financial Corp.,Chairman,2023,4,13300,Energy
133,Joseph Lau,71,Hong Kong,M,Hong Kong,Real estate,,,2023,4,13300,Real Estate
136,Lu Xiangyang,60,Guangzhou,M,China,"Automobiles, batteries",,,2023,4,13200,Automotive
137,Harry Triguboff,90,Sydney,M,Australia,Real estate,,,2023,4,13100,Real Estate
138,Uday Kotak,64,Mumbai,M,India,Banking,,,2023,4,12900,Finance & Investments
138,Stanley Kroenke,75,Electra,M,United States,"Sports, real estate",,,2023,4,12900,Sports
140,Mikhail Fridman,58,London,M,United Kingdom,"Oil, banking, telecom",,,2023,4,12600,Energy
141,Sarath Ratanavadi,57,Bangkok,M,Thailand,Energy,,,2023,4,12300,Energy
142,Dang Yanbao,50,Yinchuan,M,China,Coal,,,2023,4,12200,Metals & Mining
142,Jiang Rensheng & family,69,Chongqing,M,China,Vaccines,,,2023,4,12200,Healthcare
144,Shahid Khan,72,Naples,M,United States,Auto parts,,,2023,4,12100,Automotive
145,Laurene Powell Jobs & family,59,Palo Alto,F,United States,"Apple, Disney",Emerson Collective,"Investor, Philanthropist",2023,4,12000,Technology
146,Robert Kuok,99,Hong Kong,M,Hong Kong,"Palm oil, shipping, property",,,2023,4,11800,Diversified
147,Stephen Ross,82,New York,M,United States,Real estate,,,2023,4,11600,Real Estate
148,Pavel Durov,38,Dubai,M,United Arab Emirates,Messaging app,,,2023,4,11500,Technology
148,Andreas Struengmann & family,73,Tegernsee,M,Germany,Pharmaceuticals,,,2023,4,11500,Healthcare
148,Thomas Struengmann & family,73,Tegernsee,M,Germany,Pharmaceuticals,,,2023,4,11500,Healthcare
151,Liu Hanyuan,59,Chengdu,M,China,Agribusiness,,,2023,4,11400,Food & Beverage
151,Michael Rubin,50,Bryn Mawr,M,United States,Online retail,Kynetic,CEO,2023,4,11400,Fashion & Retail
153,Israel Englander,74,New York,M,United States,Hedge funds,"Millennium Management, L.L.C.",Founder,2023,4,11300,Finance & Investments
153,Viatcheslav Kantor,69,Herzliya,M,Israel,"Fertilizer, real estate",,,2023,4,11300,Manufacturing
153,Anthony Pratt,62,Melbourne,M,Australia,Manufacturing,,,2023,4,11300,Manufacturing
153,Mikhail Prokhorov,57,Frauenfeld,M,Switzerland,Investments,,,2023,4,11300,Finance & Investments
157,Giorgio Armani,88,Milan,M,Italy,Luxury goods,,,2023,4,11100,Fashion & Retail
157,Johann Rupert & family,72,Cape Town,M,South Africa,Luxury goods,,,2023,4,11100,Fashion & Retail
159,Gong Hongjia & family,58,Hong Kong,M,Hong Kong,Video surveillance,,,2023,4,11000,Finance & Investments
159,Zhang Zhidong,51,Shenzhen,M,China,Internet media,,,2023,4,11000,Technology
161,Philip Anschutz,83,Denver,M,United States,"Energy, sports, entertainment",,,2023,4,10900,Finance & Investments
161,Judy Love & family,85,Oklahoma City,F,United States,Gas stations,Love's Travel Stops and Country Stores,Chairman and CEO,2023,4,10900,Fashion & Retail
161,Ricardo Salinas Pliego & family,67,Mexico City,M,Mexico,"Retail, media",,,2023,4,10900,Fashion & Retail
164,Donald Newhouse,93,New York,M,United States,Media,,,2023,4,10700,Media & Entertainment
165,Robert Kraft,81,Brookline,M,United States,"Manufacturing, New England Patriots",The Kraft Group,Chairman & CEO,2023,4,10600,Sports
165,Marcel Herrmann Telles & family,73,Sao Paulo,M,Brazil,Beer,,,2023,4,10600,Food & Beverage
167,Suleiman Kerimov & family,57,Moscow,M,Russia,Gold,,,2023,4,10500,Finance & Investments
167,Sky Xu,39,Guangzhou,M,China,E-commerce,,,2023,4,10500,Fashion & Retail
167,Changpeng Zhao,45,Dubai,M,United Arab Emirates,Cryptocurrency exchange,,,2023,4,10500,Finance & Investments
170,Andrew Beal,70,Dallas,M,United States,"Banks, real estate",,,2023,4,10300,Finance & Investments
171,Mike Cannon-Brookes,43,Sydney,M,Australia,Software,,,2023,4,10200,Technology
171,Carl Cook,60,Bloomington,M,United States,Medical devices,,,2023,4,10200,Healthcare
171,David Duffield,82,Incline Village,M,United States,Business software,Workday,Chairman and Cofounder,2023,4,10200,Technology
171,Jeffery Hildebrand,64,Houston,M,United States,Oil,,,2023,4,10200,Energy
171,Viktor Rashnikov,74,Magnitogorsk,M,Russia,Steel,,,2023,4,10200,Manufacturing
171,Eduardo Saverin,41,Singapore,M,Singapore,Facebook,Meta Platforms,Investor,2023,4,10200,Technology
171,Georg Schaeffler,58,Herzogenaurach,M,Germany,Auto parts,,,2023,4,10200,Automotive
171,Christy Walton,74,Jackson,F,United States,Walmart,,,2023,4,10200,Fashion & Retail
179,Scott Farquhar,43,Sydney,M,Australia,Software,,,2023,4,10100,Technology
179,Quek Leng Chan,81,Kuala Lumpur,M,Malaysia,"Banking, property",,,2023,4,10100,Diversified
179,Wu Yajun,59,Beijing,F,China,Real estate,,,2023,4,10100,Real Estate
182,Autry Stephens,85,Midland,M,United States,Oil,,,2023,4,10000,Energy
183,Liu Yongxing,74,Shanghai,M,China,Diversified,East Hope Group,Chairman,2023,4,9900,Service
184,Vinod Adani,74,Dubai,M,United Arab Emirates,"Infrastructure, commodities",,,2023,4,9800,Diversified
184,Nicolas Puech,80,Martigny,M,Switzerland,Hermes,,,2023,4,9800,Fashion & Retail
184,"Jacques Saadé, Jr.",51,Marseille,M,France,Shipping,,,2023,4,9800,Logistics
184,Rodolphe Saadé,53,Marseille,M,France,Shipping,CMA CGM,Chairman and CEO,2023,4,9800,Logistics
184,Tanya Saadé Zeenny,55,Marseille,F,France,Shipping,,,2023,4,9800,Logistics
184,Melker Schorling & family,75,Stockholm,M,Sweden,Investments,,,2023,4,9800,Finance & Investments
190,Andrei Guryev & family,63,Moscow,M,Russia,Fertilizers,,,2023,4,9700,Manufacturing
190,Michael Kim,59,Seoul,M,South Korea,Private equity,MBK Partners,,2023,4,9700,Finance & Investments
190,Lei Jun,53,Beijing,M,China,Smartphones,Xiaomi,Founder and CEO,2023,4,9700,Technology
190,Friedhelm Loh,76,Haiger,M,Germany,Manufacturing,,,2023,4,9700,Manufacturing
190,Sun Piaoyang,64,Lianyungang,M,China,Pharmaceuticals,,,2023,4,9700,Healthcare
195,Rick Cohen & family,70,Keene,M,United States,Warehouse automation,C&S Wholesale Grocers,Entrepreneur,2023,4,9600,Technology
195,Jin Baofang,70,Xingtai,M,China,Solar panels,,,2023,4,9600,Energy
195,Luo Liguo & family,67,Ningbo,M,China,Chemicals,,,2023,4,9600,Manufacturing
195,Marijke Mars,58,Los Angeles,F,United States,"Candy, pet food",,,2023,4,9600,Food & Beverage
195,Pamela Mars,62,Alexandria,F,United States,"Candy, pet food",,,2023,4,9600,Food & Beverage
195,Valerie Mars,64,New York,F,United States,"Candy, pet food",,,2023,4,9600,Food & Beverage
195,Victoria Mars,66,Philadelphia,F,United States,"Candy, pet food",,,2023,4,9600,Food & Beverage
202,Vincent Bolloré & family,71,Paris,M,France,Investments,,,2023,4,9500,Finance & Investments
202,Jim Pattison,94,Vancouver,M,Canada,Diversified,Jim Pattison Group,"Founder, Chairman and CEO",2023,4,9500,Diversified
204,Ernesto Bertarelli,57,Gstaad,M,Switzerland,"Biotech, investments",,,2023,4,9400,Healthcare
204,Wang Xing,44,Beijing,M,China,Food delivery,,,2023,4,9400,Technology
206,Brian Chesky,41,San Francisco,M,United States,Airbnb,"Airbnb, Inc.",CEO and Cofounder,2023,4,9300,Technology
206,James Dyson,75,Gloucestershire,M,United Kingdom,Vacuums,,,2023,4,9300,Manufacturing
208,Roman Abramovich & family,56,Moscow,M,Russia,"Steel, investments",,,2023,4,9200,Diversified
208,Antonia Ax:son Johnson & family,79,Stockholm,F,Sweden,Diversified,,,2023,4,9200,Diversified
208,Daniel Kretinsky,47,Prague,M,Czech Republic,"Energy, investments",,,2023,4,9200,Energy
208,John Malone,82,Elizabeth,M,United States,Cable television,,,2023,4,9200,Media & Entertainment
208,Azim Premji,77,Bangalore,M,India,Software services,Wipro Ltd.,Founder Chairman,2023,4,9200,Technology
208,Charles Schwab,85,Woodside,M,United States,Discount brokerage,Charles Schwab Corp.,Investor,2023,4,9200,Finance & Investments
208,Eric Smidt,63,Beverly Hills,M,United States,Hardware stores,,,2023,4,9200,Fashion & Retail
215,David Cheriton,72,Palo Alto,M,United States,Google,Stanford University,Professor,2023,4,9000,Technology
215,Ivan Glasenberg,66,Ruschlikon,M,Switzerland,Mining,,,2023,4,9000,Metals & Mining
215,Alexander Otto,55,Hamburg,M,Germany,Real estate,,,2023,4,9000,Real Estate
215,Anthony von Mandl,73,Vancouver,M,Canada,Alcoholic beverages,,,2023,4,9000,Food & Beverage
215,Wang Liping & family,57,Changzhou,M,China,Hydraulic machinery,,,2023,4,9000,Manufacturing
220,Finn Rausing,68,London,M,United Kingdom,Packaging,,,2023,4,8900,Food & Beverage
220,Jorn Rausing,63,Surrey,M,United Kingdom,Packaging,,,2023,4,8900,Food & Beverage
220,Kirsten Rausing,70,Newmarket,F,United Kingdom,Packaging,,,2023,4,8900,Food & Beverage
223,Tatyana Bakalchuk,47,Moscow region,F,Russia,Ecommerce,,,2023,4,8800,Fashion & Retail
223,John Doerr,71,Woodside,M,United States,Venture capital,Kleiner Perkins,Investor,2023,4,8800,Technology
223,Richard Liu,49,Beijing,M,China,E-commerce,,,2023,4,8800,Technology
223,Dustin Moskovitz,38,San Francisco,M,United States,Facebook,Asana,Cofounder,2023,4,8800,Technology
223,Pierre Omidyar,55,Honolulu,M,United States,"EBay, PayPal",eBay,Founder,2023,4,8800,Technology
223,Pei Zhenhua,64,Ningde,M,China,Batteries,,,2023,4,8800,Energy
223,Carrie Perrodo & family,72,London,F,United Kingdom,Oil,,Philanthropist,2023,4,8800,Energy
230,Chen Jianhua,52,Wujiang,M,China,Chemicals,,,2023,4,8700,Manufacturing
230,Michael Otto,79,Hamburg,M,Germany,"Retail, real estate",,,2023,4,8700,Fashion & Retail
232,Leon Black,71,New York,M,United States,Private equity,,,2023,4,8600,Finance & Investments
232,Graeme Hart,67,Auckland,M,New Zealand,Investments,,,2023,4,8600,Finance & Investments
232,Ravi Jaipuria,68,Delhi,M,India,"Soft drinks, fast food",,,2023,4,8600,Food & Beverage
232,Hasso Plattner & family,79,Heidelberg,M,Germany,Software,,,2023,4,8600,Technology
232,Carlos Alberto Sicupira & family,75,St. Gallen,M,Switzerland,Beer,,,2023,4,8600,Food & Beverage
232,Manuel Villar,73,Manila,M,Philippines,Real estate,,,2023,4,8600,Real Estate
232,Andreas von Bechtolsheim & family,67,Palo Alto,M,United States,Google,Arista Networks,"Cofounder, Chief Development Officer and Chairman",2023,4,8600,Technology
239,"Chase Coleman, III.",47,New York,M,United States,Investments,Tiger Global Management,Investor,2023,4,8500,Finance & Investments
239,Ann Walton Kroenke,74,Electra,F,United States,Walmart,,,2023,4,8500,Fashion & Retail
239,Li Zhenguo & family,55,Xi'an,M,China,Solar wafers and modules,,,2023,4,8500,Manufacturing
242,Jim Kennedy,75,Atlanta,M,United States,"Media, automotive",Cox Enterprises,Chairman Emeritus,2023,4,8400,Media & Entertainment
242,Nicky Oppenheimer & family,77,Johannesburg,M,South Africa,Diamonds,,,2023,4,8400,Metals & Mining
242,Blair Parry-Okeden,72,New South Wales,F,Australia,"Media, automotive",,,2023,4,8400,Media & Entertainment
242,Zheng Shuliang & family,77,Binzhou,F,China,Aluminum products,,,2023,4,8400,Metals & Mining
246,John Morris,75,Springfield,M,United States,Sporting goods retail,,,2023,4,8300,Fashion & Retail
246,Stefano Pessina,81,Monte Carlo,M,Monaco,Drugstores,,,2023,4,8300,Fashion & Retail
246,Francine von Finck & family,,Thurgau,F,Switzerland,Investments,,,2023,4,8300,Finance & Investments
249,Francis Choi,75,Hong Kong,M,Hong Kong,Real estate,,,2023,4,8200,Real Estate
249,German Khan,61,Moscow,M,Russia,"Oil, banking, telecom",,,2023,4,8200,Energy
249,Abdulsamad Rabiu,62,Lagos,M,Nigeria,"Cement, sugar",,,2023,4,8200,Diversified
249,George Roberts,79,Atherton,M,United States,Private equity,,,2023,4,8200,Finance & Investments
249,Kushal Pal Singh,91,Delhi,M,India,Real estate,,,2023,4,8200,Real Estate
249,Wang Jianlin,68,Beijing,M,China,Real estate,Dalian Wanda Group,Chairman,2023,4,8200,Real Estate
249,Yang Huiyan & family,41,Foshan,F,China,Real estate,,,2023,4,8200,Real Estate
256,Laurent Dassault,69,Paris,M,France,Diversified,,,2023,4,8100,Diversified
256,Thierry Dassault,66,Paris,M,France,Diversified,,,2023,4,8100,Diversified
256,Tilman Fertitta,65,Houston,M,United States,"Houston Rockets, entertainment",Landry's Inc,Chairman and CEO,2023,4,8100,Food & Beverage
256,Marie-Hélène Habert-Dassault,58,Paris,F,France,Diversified,,,2023,4,8100,Diversified
256,Karel Komarek,54,Verbier,M,Switzerland,"Oil and gas, IT, lotteries",,,2023,4,8100,Gambling & Casinos
261,Nathan Blecharczyk,39,San Francisco,M,United States,Airbnb,,,2023,4,8000,Technology
261,Leonid Fedun,66,Moscow,M,Russia,Oil,,,2023,4,8000,Energy
261,Bernard Marcus,93,Atlanta,M,United States,Home Depot,Home Depot,"Co-founder, ex chairman of the board",2023,4,8000,Fashion & Retail
261,Patrick Ryan,85,Winnetka,M,United States,Insurance,Ryan Specialty Group,Chairman and CEO,2023,4,8000,Finance & Investments
261,Robert F. Smith,60,Austin,M,United States,Private equity,,Investor,2023,4,8000,Finance & Investments
261,Pavel Tykac,58,Prague,M,Czech Republic,Coal mines,,,2023,4,8000,Metals & Mining
